"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - Click loss","run-rank0-clicks - Click loss__MIN","run-rank0-clicks - Click loss__MAX"
"344","1716","1716","1716","0.3118192255496979","0.3118192255496979","0.3118192255496979"
"353","1761","1761","1761","0.2659321427345276","0.2659321427345276","0.2659321427345276"
"367","1831","1831","1831","0.3869539499282837","0.3869539499282837","0.3869539499282837"
"373","1861","1861","1861","0.25611773133277893","0.25611773133277893","0.25611773133277893"
"376","1876","1876","1876","0.3721775412559509","0.3721775412559509","0.3721775412559509"
"385","1921","1921","1921","0.1661597192287445","0.1661597192287445","0.1661597192287445"
"388","1936","1936","1936","0.3629097640514374","0.3629097640514374","0.3629097640514374"
"389","1941","1941","1941","0.23934894800186157","0.23934894800186157","0.23934894800186157"
"403","2011","2011","2011","0.332733690738678","0.332733690738678","0.332733690738678"
"410","2046","2046","2046","0.28623127937316895","0.28623127937316895","0.28623127937316895"
"418","2086","2086","2086","0.40126147866249084","0.40126147866249084","0.40126147866249084"
"457","2281","2281","2281","0.30099722743034363","0.30099722743034363","0.30099722743034363"
"476","2376","2376","2376","0.43904396891593933","0.43904396891593933","0.43904396891593933"
"489","2441","2441","2441","0.2017885446548462","0.2017885446548462","0.2017885446548462"
"493","2461","2461","2461","0.17632882297039032","0.17632882297039032","0.17632882297039032"
"496","2476","2476","2476","0.4887080788612366","0.4887080788612366","0.4887080788612366"
"506","2526","2526","2526","0.1101456806063652","0.1101456806063652","0.1101456806063652"
"509","2541","2541","2541","0.4800656735897064","0.4800656735897064","0.4800656735897064"
"550","2746","2746","2746","0.20207703113555908","0.20207703113555908","0.20207703113555908"
"557","2781","2781","2781","0.2454526424407959","0.2454526424407959","0.2454526424407959"
"575","2871","2871","2871","0.16416704654693604","0.16416704654693604","0.16416704654693604"
"590","2946","2946","2946","0.3434302806854248","0.3434302806854248","0.3434302806854248"
"597","2981","2981","2981","0.39933356642723083","0.39933356642723083","0.39933356642723083"
"611","3051","3051","3051","0.23371756076812744","0.23371756076812744","0.23371756076812744"
"620","3096","3096","3096","0.15732786059379578","0.15732786059379578","0.15732786059379578"
"622","3106","3106","3106","0.35741832852363586","0.35741832852363586","0.35741832852363586"
"632","3156","3156","3156","0.34926509857177734","0.34926509857177734","0.34926509857177734"
"643","3211","3211","3211","0.11328458040952682","0.11328458040952682","0.11328458040952682"
"664","3316","3316","3316","0.34202003479003906","0.34202003479003906","0.34202003479003906"
"665","3321","3321","3321","0.358941912651062","0.358941912651062","0.358941912651062"
"667","3331","3331","3331","0.19904989004135132","0.19904989004135132","0.19904989004135132"
"668","3336","3336","3336","0.13336360454559326","0.13336360454559326","0.13336360454559326"
"684","3416","3416","3416","0.3712504208087921","0.3712504208087921","0.3712504208087921"
"691","3451","3451","3451","0.21545788645744324","0.21545788645744324","0.21545788645744324"
"722","3606","3606","3606","0.213405042886734","0.213405042886734","0.213405042886734"
"740","3696","3696","3696","0.24264833331108093","0.24264833331108093","0.24264833331108093"
"757","3781","3781","3781","0.2363729178905487","0.2363729178905487","0.2363729178905487"
"781","3901","3901","3901","0.2957422137260437","0.2957422137260437","0.2957422137260437"
"792","3956","3956","3956","0.27932488918304443","0.27932488918304443","0.27932488918304443"
"803","4011","4011","4011","0.31935521960258484","0.31935521960258484","0.31935521960258484"
"813","4061","4061","4061","0.2702188491821289","0.2702188491821289","0.2702188491821289"
"821","4101","4101","4101","0.21556700766086578","0.21556700766086578","0.21556700766086578"
"831","4151","4151","4151","0.559341311454773","0.559341311454773","0.559341311454773"
