"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - Total loss","run-rank0-clicks - Total loss__MIN","run-rank0-clicks - Total loss__MAX"
"12","55","55","55","9.415193557739258","9.415193557739258","9.415193557739258"
"13","60","60","60","9.257399559020996","9.257399559020996","9.257399559020996"
"20","95","95","95","9.02437973022461","9.02437973022461","9.02437973022461"
"49","240","240","240","8.103872299194336","8.103872299194336","8.103872299194336"
"60","295","295","295","7.786275386810303","7.786275386810303","7.786275386810303"
"83","410","410","410","7.2806477546691895","7.2806477546691895","7.2806477546691895"
"96","475","475","475","6.905163288116455","6.905163288116455","6.905163288116455"
"107","530","530","530","7.030540943145752","7.030540943145752","7.030540943145752"
"123","610","610","610","6.873749256134033","6.873749256134033","6.873749256134033"
"129","640","640","640","6.9611101150512695","6.9611101150512695","6.9611101150512695"
"142","705","705","705","6.955422878265381","6.955422878265381","6.955422878265381"
"147","730","730","730","6.651981830596924","6.651981830596924","6.651981830596924"
"170","845","845","845","7.244456768035889","7.244456768035889","7.244456768035889"
"191","950","950","950","6.9320549964904785","6.9320549964904785","6.9320549964904785"
"202","1005","1005","1005","7.019004821777344","7.019004821777344","7.019004821777344"
"203","1010","1010","1010","6.962891578674316","6.962891578674316","6.962891578674316"
"204","1015","1015","1015","6.884979724884033","6.884979724884033","6.884979724884033"
"212","1055","1055","1055","6.87427282333374","6.87427282333374","6.87427282333374"
"215","1070","1070","1070","6.844301700592041","6.844301700592041","6.844301700592041"
"250","1245","1245","1245","6.783177852630615","6.783177852630615","6.783177852630615"
"257","1280","1280","1280","6.908320903778076","6.908320903778076","6.908320903778076"
"270","1345","1345","1345","6.631401538848877","6.631401538848877","6.631401538848877"
"279","1390","1390","1390","6.705090045928955","6.705090045928955","6.705090045928955"
"308","1535","1535","1535","6.56419038772583","6.56419038772583","6.56419038772583"
"312","1555","1555","1555","6.5523362159729","6.5523362159729","6.5523362159729"
"332","1655","1655","1655","6.5593156814575195","6.5593156814575195","6.5593156814575195"
"342","1705","1705","1705","6.585709571838379","6.585709571838379","6.585709571838379"
"343","1710","1710","1710","6.59212064743042","6.59212064743042","6.59212064743042"
"355","1770","1770","1770","6.662142276763916","6.662142276763916","6.662142276763916"
"360","1795","1795","1795","6.546146869659424","6.546146869659424","6.546146869659424"
"402","2005","2005","2005","6.475077152252197","6.475077152252197","6.475077152252197"
"404","2015","2015","2015","6.391537189483643","6.391537189483643","6.391537189483643"
"412","2055","2055","2055","6.743494033813477","6.743494033813477","6.743494033813477"
"417","2080","2080","2080","6.525664329528809","6.525664329528809","6.525664329528809"
"480","2395","2395","2395","6.254175662994385","6.254175662994385","6.254175662994385"
"485","2420","2420","2420","6.750703811645508","6.750703811645508","6.750703811645508"
"519","2590","2590","2590","6.164920806884766","6.164920806884766","6.164920806884766"
"520","2595","2595","2595","6.444307804107666","6.444307804107666","6.444307804107666"
"525","2620","2620","2620","6.455494403839111","6.455494403839111","6.455494403839111"
"528","2635","2635","2635","6.756063938140869","6.756063938140869","6.756063938140869"
"533","2660","2660","2660","6.139856815338135","6.139856815338135","6.139856815338135"
"535","2670","2670","2670","6.494293689727783","6.494293689727783","6.494293689727783"
"543","2710","2710","2710","6.2856669425964355","6.2856669425964355","6.2856669425964355"
"546","2725","2725","2725","6.584883689880371","6.584883689880371","6.584883689880371"
"555","2770","2770","2770","6.484701156616211","6.484701156616211","6.484701156616211"
"571","2850","2850","2850","6.259360313415527","6.259360313415527","6.259360313415527"
"578","2885","2885","2885","5.6940178871154785","5.6940178871154785","5.6940178871154785"
"587","2930","2930","2930","6.397808074951172","6.397808074951172","6.397808074951172"
"599","2990","2990","2990","6.331399440765381","6.331399440765381","6.331399440765381"
"604","3015","3015","3015","6.409865856170654","6.409865856170654","6.409865856170654"
"613","3060","3060","3060","6.119552135467529","6.119552135467529","6.119552135467529"
"617","3080","3080","3080","6.258504390716553","6.258504390716553","6.258504390716553"
"620","3095","3095","3095","6.18172550201416","6.18172550201416","6.18172550201416"
"631","3150","3150","3150","6.371403217315674","6.371403217315674","6.371403217315674"
"654","3265","3265","3265","6.3062591552734375","6.3062591552734375","6.3062591552734375"
"675","3370","3370","3370","6.38939094543457","6.38939094543457","6.38939094543457"
"678","3385","3385","3385","6.12452507019043","6.12452507019043","6.12452507019043"
