"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - MLM loss","run-rank0-clicks - MLM loss__MIN","run-rank0-clicks - MLM loss__MAX"
"914","4569","4569","4569","5.940659999847412","5.940659999847412","5.940659999847412"
"922","4609","4609","4609","5.723749160766602","5.723749160766602","5.723749160766602"
"931","4654","4654","4654","5.712551593780518","5.712551593780518","5.712551593780518"
"935","4674","4674","4674","5.955318927764893","5.955318927764893","5.955318927764893"
"962","4809","4809","4809","5.564704418182373","5.564704418182373","5.564704418182373"
"974","4869","4869","4869","6.195292949676514","6.195292949676514","6.195292949676514"
"993","4964","4964","4964","5.498653411865234","5.498653411865234","5.498653411865234"
"995","4974","4974","4974","5.761661529541016","5.761661529541016","5.761661529541016"
"999","4994","4994","4994","5.421736240386963","5.421736240386963","5.421736240386963"
"1009","5044","5044","5044","5.554200649261475","5.554200649261475","5.554200649261475"
"1010","5049","5049","5049","5.808338165283203","5.808338165283203","5.808338165283203"
"1044","5219","5219","5219","5.803819179534912","5.803819179534912","5.803819179534912"
"1052","5259","5259","5259","5.177109241485596","5.177109241485596","5.177109241485596"
"1057","5284","5284","5284","5.594841480255127","5.594841480255127","5.594841480255127"
"1058","5289","5289","5289","5.598419189453125","5.598419189453125","5.598419189453125"
"1124","5619","5619","5619","5.530264854431152","5.530264854431152","5.530264854431152"
"1130","5649","5649","5649","5.835659027099609","5.835659027099609","5.835659027099609"
"1140","5699","5699","5699","5.602522850036621","5.602522850036621","5.602522850036621"
"1151","5754","5754","5754","5.3739471435546875","5.3739471435546875","5.3739471435546875"
"1164","5819","5819","5819","5.663027763366699","5.663027763366699","5.663027763366699"
"1182","5909","5909","5909","5.854278564453125","5.854278564453125","5.854278564453125"
"1188","5939","5939","5939","5.834390640258789","5.834390640258789","5.834390640258789"
"1196","5979","5979","5979","5.624152660369873","5.624152660369873","5.624152660369873"
"1198","5989","5989","5989","5.359439373016357","5.359439373016357","5.359439373016357"
"1219","6094","6094","6094","5.677295207977295","5.677295207977295","5.677295207977295"
"1225","6124","6124","6124","5.5305047035217285","5.5305047035217285","5.5305047035217285"
"1232","6159","6159","6159","4.995886325836182","4.995886325836182","4.995886325836182"
"1246","6229","6229","6229","5.486704349517822","5.486704349517822","5.486704349517822"
"1284","6419","6419","6419","5.5882887840271","5.5882887840271","5.5882887840271"
"1330","6649","6649","6649","5.563671588897705","5.563671588897705","5.563671588897705"
"1380","6899","6899","6899","5.611689567565918","5.611689567565918","5.611689567565918"
"1398","6989","6989","6989","5.482141017913818","5.482141017913818","5.482141017913818"
"1402","7009","7009","7009","5.136878490447998","5.136878490447998","5.136878490447998"
"1417","7084","7084","7084","5.503686428070068","5.503686428070068","5.503686428070068"
"1418","7089","7089","7089","5.262923240661621","5.262923240661621","5.262923240661621"
"1440","7199","7199","7199","5.596197128295898","5.596197128295898","5.596197128295898"
"1447","7234","7234","7234","5.214116096496582","5.214116096496582","5.214116096496582"
"1453","7264","7264","7264","5.29211950302124","5.29211950302124","5.29211950302124"
"1458","7289","7289","7289","5.135128974914551","5.135128974914551","5.135128974914551"
"1463","7314","7314","7314","5.396243572235107","5.396243572235107","5.396243572235107"
"1464","7319","7319","7319","5.306712627410889","5.306712627410889","5.306712627410889"
"1476","7379","7379","7379","5.683416843414307","5.683416843414307","5.683416843414307"
"1485","7424","7424","7424","5.112713813781738","5.112713813781738","5.112713813781738"
"1491","7454","7454","7454","5.168929100036621","5.168929100036621","5.168929100036621"
"1506","7529","7529","7529","5.503530502319336","5.503530502319336","5.503530502319336"
"1523","7614","7614","7614","4.47636604309082","4.47636604309082","4.47636604309082"
"1524","7619","7619","7619","5.358128070831299","5.358128070831299","5.358128070831299"
"1537","7684","7684","7684","5.234714508056641","5.234714508056641","5.234714508056641"
"1540","7699","7699","7699","5.421538352966309","5.421538352966309","5.421538352966309"
"1543","7714","7714","7714","5.224817276000977","5.224817276000977","5.224817276000977"
"1551","7754","7754","7754","5.466229438781738","5.466229438781738","5.466229438781738"
"1564","7819","7819","7819","5.396969795227051","5.396969795227051","5.396969795227051"
"1566","7829","7829","7829","5.2983222007751465","5.2983222007751465","5.2983222007751465"
"1579","7894","7894","7894","5.301181793212891","5.301181793212891","5.301181793212891"
"1582","7909","7909","7909","5.221192359924316","5.221192359924316","5.221192359924316"
"1584","7919","7919","7919","4.715240955352783","4.715240955352783","4.715240955352783"
"1589","7944","7944","7944","5.444402694702148","5.444402694702148","5.444402694702148"
"1607","8034","8034","8034","5.1986403465271","5.1986403465271","5.1986403465271"
"1612","8059","8059","8059","5.296259880065918","5.296259880065918","5.296259880065918"
"1614","8069","8069","8069","5.766066551208496","5.766066551208496","5.766066551208496"
"1624","8119","8119","8119","5.355088710784912","5.355088710784912","5.355088710784912"
"1625","8124","8124","8124","5.320113658905029","5.320113658905029","5.320113658905029"
"1627","8134","8134","8134","5.2089409828186035","5.2089409828186035","5.2089409828186035"
"1634","8169","8169","8169","5.458085060119629","5.458085060119629","5.458085060119629"
"1659","8294","8294","8294","5.366839408874512","5.366839408874512","5.366839408874512"
"1667","8334","8334","8334","5.305205345153809","5.305205345153809","5.305205345153809"
"1685","8424","8424","8424","5.128199100494385","5.128199100494385","5.128199100494385"
"1688","8439","8439","8439","5.154436111450195","5.154436111450195","5.154436111450195"
"1693","8464","8464","8464","4.877101898193359","4.877101898193359","4.877101898193359"
"1717","8584","8584","8584","5.233081340789795","5.233081340789795","5.233081340789795"
"1718","8589","8589","8589","5.511362552642822","5.511362552642822","5.511362552642822"
"1719","8594","8594","8594","5.357173442840576","5.357173442840576","5.357173442840576"
"1725","8624","8624","8624","5.211894989013672","5.211894989013672","5.211894989013672"
"1736","8679","8679","8679","5.438629627227783","5.438629627227783","5.438629627227783"
"1753","8764","8764","8764","4.829456329345703","4.829456329345703","4.829456329345703"
"1765","8824","8824","8824","5.1508660316467285","5.1508660316467285","5.1508660316467285"
