"step","run-multi-task-without-debiasing - _step","run-multi-task-without-debiasing - _step__MIN","run-multi-task-without-debiasing - _step__MAX","run-multi-task-without-debiasing - MLM loss","run-multi-task-without-debiasing - MLM loss__MIN","run-multi-task-without-debiasing - MLM loss__MAX"
"958","4789","4789","4789","6.1929931640625","6.1929931640625","6.1929931640625"
"976","4879","4879","4879","5.670771598815918","5.670771598815918","5.670771598815918"
"978","4889","4889","4889","5.723025321960449","5.723025321960449","5.723025321960449"
"1000","4999","4999","4999","6.103663444519043","6.103663444519043","6.103663444519043"
"1005","5024","5024","5024","5.894990921020508","5.894990921020508","5.894990921020508"
"1046","5229","5229","5229","6.365375518798828","6.365375518798828","6.365375518798828"
"1049","5244","5244","5244","5.786829948425293","5.786829948425293","5.786829948425293"
"1062","5309","5309","5309","5.750741958618164","5.750741958618164","5.750741958618164"
"1068","5339","5339","5339","6.289814472198486","6.289814472198486","6.289814472198486"
"1071","5354","5354","5354","5.83097505569458","5.83097505569458","5.83097505569458"
"1076","5379","5379","5379","5.770300388336182","5.770300388336182","5.770300388336182"
"1092","5459","5459","5459","6.016012668609619","6.016012668609619","6.016012668609619"
"1093","5464","5464","5464","6.0377116203308105","6.0377116203308105","6.0377116203308105"
"1118","5589","5589","5589","5.899962425231934","5.899962425231934","5.899962425231934"
"1163","5814","5814","5814","6.163923263549805","6.163923263549805","6.163923263549805"
"1174","5869","5869","5869","5.5683369636535645","5.5683369636535645","5.5683369636535645"
"1180","5899","5899","5899","5.911986827850342","5.911986827850342","5.911986827850342"
"1181","5904","5904","5904","5.843173503875732","5.843173503875732","5.843173503875732"
"1218","6089","6089","6089","5.70328950881958","5.70328950881958","5.70328950881958"
"1234","6169","6169","6169","6.289763450622559","6.289763450622559","6.289763450622559"
"1245","6224","6224","6224","5.947195053100586","5.947195053100586","5.947195053100586"
"1246","6229","6229","6229","5.7653326988220215","5.7653326988220215","5.7653326988220215"
"1249","6244","6244","6244","5.562610149383545","5.562610149383545","5.562610149383545"
"1263","6314","6314","6314","6.0456929206848145","6.0456929206848145","6.0456929206848145"
"1284","6419","6419","6419","6.042961597442627","6.042961597442627","6.042961597442627"
"1310","6549","6549","6549","5.6915602684021","5.6915602684021","5.6915602684021"
"1319","6594","6594","6594","5.620248794555664","5.620248794555664","5.620248794555664"
"1332","6659","6659","6659","5.775332927703857","5.775332927703857","5.775332927703857"
"1336","6679","6679","6679","5.927648544311523","5.927648544311523","5.927648544311523"
"1340","6699","6699","6699","5.189481735229492","5.189481735229492","5.189481735229492"
"1357","6784","6784","6784","5.833298206329346","5.833298206329346","5.833298206329346"
"1358","6789","6789","6789","6.269418239593506","6.269418239593506","6.269418239593506"
"1361","6804","6804","6804","5.8105926513671875","5.8105926513671875","5.8105926513671875"
"1375","6874","6874","6874","5.770387172698975","5.770387172698975","5.770387172698975"
"1406","7029","7029","7029","5.437277317047119","5.437277317047119","5.437277317047119"
"1409","7044","7044","7044","5.634905815124512","5.634905815124512","5.634905815124512"
"1438","7189","7189","7189","5.585860729217529","5.585860729217529","5.585860729217529"
"1448","7239","7239","7239","6.025698661804199","6.025698661804199","6.025698661804199"
"1453","7264","7264","7264","5.547667503356934","5.547667503356934","5.547667503356934"
"1485","7424","7424","7424","5.492876052856445","5.492876052856445","5.492876052856445"
"1500","7499","7499","7499","5.706823825836182","5.706823825836182","5.706823825836182"
"1509","7544","7544","7544","5.888282775878906","5.888282775878906","5.888282775878906"
"1514","7569","7569","7569","5.794410705566406","5.794410705566406","5.794410705566406"
"1518","7589","7589","7589","5.695071697235107","5.695071697235107","5.695071697235107"
"1542","7709","7709","7709","5.335190773010254","5.335190773010254","5.335190773010254"
"1567","7834","7834","7834","5.63661527633667","5.63661527633667","5.63661527633667"
"1578","7889","7889","7889","5.5799336433410645","5.5799336433410645","5.5799336433410645"
"1582","7909","7909","7909","5.6444501876831055","5.6444501876831055","5.6444501876831055"
"1589","7944","7944","7944","5.792999267578125","5.792999267578125","5.792999267578125"
"1601","8004","8004","8004","5.6471476554870605","5.6471476554870605","5.6471476554870605"
"1607","8034","8034","8034","5.38063907623291","5.38063907623291","5.38063907623291"
"1623","8114","8114","8114","5.580583572387695","5.580583572387695","5.580583572387695"
"1636","8179","8179","8179","5.653630256652832","5.653630256652832","5.653630256652832"
"1638","8189","8189","8189","5.540925979614258","5.540925979614258","5.540925979614258"
"1656","8279","8279","8279","5.73940896987915","5.73940896987915","5.73940896987915"
"1708","8539","8539","8539","5.514950752258301","5.514950752258301","5.514950752258301"
"1713","8564","8564","8564","5.768560886383057","5.768560886383057","5.768560886383057"
"1718","8589","8589","8589","5.816410541534424","5.816410541534424","5.816410541534424"
"1722","8609","8609","8609","5.452093601226807","5.452093601226807","5.452093601226807"
"1732","8659","8659","8659","5.038255214691162","5.038255214691162","5.038255214691162"
"1733","8664","8664","8664","5.203967571258545","5.203967571258545","5.203967571258545"
"1735","8674","8674","8674","5.4817962646484375","5.4817962646484375","5.4817962646484375"
"1736","8679","8679","8679","5.577098369598389","5.577098369598389","5.577098369598389"
"1741","8704","8704","8704","5.442339897155762","5.442339897155762","5.442339897155762"
"1745","8724","8724","8724","5.839028358459473","5.839028358459473","5.839028358459473"
"1747","8734","8734","8734","5.728144645690918","5.728144645690918","5.728144645690918"
"1753","8764","8764","8764","5.1349663734436035","5.1349663734436035","5.1349663734436035"
"1789","8944","8944","8944","5.1452250480651855","5.1452250480651855","5.1452250480651855"
"1794","8969","8969","8969","4.942776203155518","4.942776203155518","4.942776203155518"
"1822","9109","9109","9109","5.3833441734313965","5.3833441734313965","5.3833441734313965"
"1895","9474","9474","9474","5.223158359527588","5.223158359527588","5.223158359527588"
"1921","9604","9604","9604","5.478984355926514","5.478984355926514","5.478984355926514"
"1927","9634","9634","9634","5.611184597015381","5.611184597015381","5.611184597015381"
"1931","9654","9654","9654","5.375786304473877","5.375786304473877","5.375786304473877"
"1938","9689","9689","9689","5.675023078918457","5.675023078918457","5.675023078918457"
"1942","9709","9709","9709","5.217240333557129","5.217240333557129","5.217240333557129"
"1957","9784","9784","9784","5.523538589477539","5.523538589477539","5.523538589477539"
"1974","9869","9869","9869","5.348306179046631","5.348306179046631","5.348306179046631"
"1978","9889","9889","9889","5.659745216369629","5.659745216369629","5.659745216369629"
"1985","9924","9924","9924","5.397864818572998","5.397864818572998","5.397864818572998"
"1997","9984","9984","9984","5.132757663726807","5.132757663726807","5.132757663726807"
"1998","9989","9989","9989","5.544900417327881","5.544900417327881","5.544900417327881"
"2051","10254","10254","10254","5.4930009841918945","5.4930009841918945","5.4930009841918945"
"2053","10264","10264","10264","5.495044708251953","5.495044708251953","5.495044708251953"
"2055","10274","10274","10274","5.038712501525879","5.038712501525879","5.038712501525879"
"2058","10289","10289","10289","5.125316143035889","5.125316143035889","5.125316143035889"
"2064","10319","10319","10319","5.380740642547607","5.380740642547607","5.380740642547607"
"2069","10344","10344","10344","5.4640350341796875","5.4640350341796875","5.4640350341796875"
"2082","10409","10409","10409","4.488830089569092","4.488830089569092","4.488830089569092"
"2119","10594","10594","10594","5.425622940063477","5.425622940063477","5.425622940063477"
"2126","10629","10629","10629","5.296233177185059","5.296233177185059","5.296233177185059"
"2129","10644","10644","10644","5.170219421386719","5.170219421386719","5.170219421386719"
"2139","10694","10694","10694","5.379336833953857","5.379336833953857","5.379336833953857"
"2140","10699","10699","10699","5.207221984863281","5.207221984863281","5.207221984863281"
"2161","10804","10804","10804","5.284328460693359","5.284328460693359","5.284328460693359"
"2168","10839","10839","10839","5.716997146606445","5.716997146606445","5.716997146606445"
"2205","11024","11024","11024","5.394833087921143","5.394833087921143","5.394833087921143"
"2219","11094","11094","11094","5.402584552764893","5.402584552764893","5.402584552764893"
"2228","11139","11139","11139","5.306365013122559","5.306365013122559","5.306365013122559"
"2229","11144","11144","11144","4.900372505187988","4.900372505187988","4.900372505187988"
"2246","11229","11229","11229","5.094758033752441","5.094758033752441","5.094758033752441"
"2266","11329","11329","11329","5.611746788024902","5.611746788024902","5.611746788024902"
"2271","11354","11354","11354","4.976884365081787","4.976884365081787","4.976884365081787"
"2281","11404","11404","11404","5.0018110275268555","5.0018110275268555","5.0018110275268555"
"2286","11429","11429","11429","5.356064319610596","5.356064319610596","5.356064319610596"
"2290","11449","11449","11449","5.617976188659668","5.617976188659668","5.617976188659668"
"2299","11494","11494","11494","5.366346836090088","5.366346836090088","5.366346836090088"
"2308","11539","11539","11539","5.192248344421387","5.192248344421387","5.192248344421387"
"2312","11559","11559","11559","5.357085704803467","5.357085704803467","5.357085704803467"
"2314","11569","11569","11569","5.527612686157227","5.527612686157227","5.527612686157227"
"2344","11719","11719","11719","5.135859489440918","5.135859489440918","5.135859489440918"
"2371","11854","11854","11854","5.119218349456787","5.119218349456787","5.119218349456787"
"2373","11864","11864","11864","4.380378246307373","4.380378246307373","4.380378246307373"
"2377","11884","11884","11884","4.927480697631836","4.927480697631836","4.927480697631836"
"2384","11919","11919","11919","5.132627487182617","5.132627487182617","5.132627487182617"
"2398","11989","11989","11989","5.424386024475098","5.424386024475098","5.424386024475098"
"2405","12024","12024","12024","4.895898818969727","4.895898818969727","4.895898818969727"
"2407","12034","12034","12034","5.408820629119873","5.408820629119873","5.408820629119873"
"2421","12104","12104","12104","5.478679180145264","5.478679180145264","5.478679180145264"
"2442","12209","12209","12209","5.319253921508789","5.319253921508789","5.319253921508789"
"2450","12249","12249","12249","5.642902851104736","5.642902851104736","5.642902851104736"
"2471","12354","12354","12354","4.875913619995117","4.875913619995117","4.875913619995117"
"2489","12444","12444","12444","4.8953657150268555","4.8953657150268555","4.8953657150268555"
"2504","12519","12519","12519","5.111922264099121","5.111922264099121","5.111922264099121"
"2520","12599","12599","12599","5.437669277191162","5.437669277191162","5.437669277191162"
"2542","12709","12709","12709","5.06213903427124","5.06213903427124","5.06213903427124"
"2545","12724","12724","12724","5.342650413513184","5.342650413513184","5.342650413513184"
"2554","12769","12769","12769","5.377445697784424","5.377445697784424","5.377445697784424"
"2572","12859","12859","12859","5.3255085945129395","5.3255085945129395","5.3255085945129395"
"2579","12894","12894","12894","5.096161365509033","5.096161365509033","5.096161365509033"
"2584","12919","12919","12919","5.408253192901611","5.408253192901611","5.408253192901611"
"2594","12969","12969","12969","5.083697319030762","5.083697319030762","5.083697319030762"
"2610","13049","13049","13049","4.846685409545898","4.846685409545898","4.846685409545898"
"2611","13054","13054","13054","5.075107574462891","5.075107574462891","5.075107574462891"
"2661","13304","13304","13304","5.389004707336426","5.389004707336426","5.389004707336426"
"2667","13334","13334","13334","5.209604740142822","5.209604740142822","5.209604740142822"
"2679","13394","13394","13394","4.979535102844238","4.979535102844238","4.979535102844238"
"2692","13459","13459","13459","4.80999231338501","4.80999231338501","4.80999231338501"
"2699","13494","13494","13494","4.87502908706665","4.87502908706665","4.87502908706665"
"2703","13514","13514","13514","5.295623779296875","5.295623779296875","5.295623779296875"
"2723","13614","13614","13614","5.4438982009887695","5.4438982009887695","5.4438982009887695"
"2738","13689","13689","13689","5.151182651519775","5.151182651519775","5.151182651519775"
"2751","13754","13754","13754","5.363277435302734","5.363277435302734","5.363277435302734"
"2789","13944","13944","13944","5.11961555480957","5.11961555480957","5.11961555480957"
"2793","13964","13964","13964","5.072916030883789","5.072916030883789","5.072916030883789"
"2796","13979","13979","13979","5.144265651702881","5.144265651702881","5.144265651702881"
"2801","14004","14004","14004","5.310639381408691","5.310639381408691","5.310639381408691"
"2805","14024","14024","14024","4.534938335418701","4.534938335418701","4.534938335418701"
"2819","14094","14094","14094","4.925360679626465","4.925360679626465","4.925360679626465"
"2836","14179","14179","14179","4.959981441497803","4.959981441497803","4.959981441497803"
"2888","14439","14439","14439","5.4061126708984375","5.4061126708984375","5.4061126708984375"
"2891","14454","14454","14454","4.964676380157471","4.964676380157471","4.964676380157471"
"2892","14459","14459","14459","4.977819442749023","4.977819442749023","4.977819442749023"
"2895","14474","14474","14474","4.959347248077393","4.959347248077393","4.959347248077393"
"2908","14539","14539","14539","4.792667388916016","4.792667388916016","4.792667388916016"
"2927","14634","14634","14634","4.918239116668701","4.918239116668701","4.918239116668701"
"2961","14804","14804","14804","5.092128753662109","5.092128753662109","5.092128753662109"
"2967","14834","14834","14834","4.858853816986084","4.858853816986084","4.858853816986084"
"2981","14904","14904","14904","4.616722106933594","4.616722106933594","4.616722106933594"
"2996","14979","14979","14979","5.082423210144043","5.082423210144043","5.082423210144043"
"3011","15054","15054","15054","4.832716464996338","4.832716464996338","4.832716464996338"
"3033","15164","15164","15164","4.552323818206787","4.552323818206787","4.552323818206787"
"3036","15179","15179","15179","5.224014759063721","5.224014759063721","5.224014759063721"
"3043","15214","15214","15214","4.560842990875244","4.560842990875244","4.560842990875244"
"3045","15224","15224","15224","5.695833683013916","5.695833683013916","5.695833683013916"
"3047","15234","15234","15234","4.7312493324279785","4.7312493324279785","4.7312493324279785"
"3077","15384","15384","15384","5.42155647277832","5.42155647277832","5.42155647277832"
"3120","15599","15599","15599","4.728063106536865","4.728063106536865","4.728063106536865"
"3138","15689","15689","15689","4.806640148162842","4.806640148162842","4.806640148162842"
"3145","15724","15724","15724","5.026766777038574","5.026766777038574","5.026766777038574"
"3165","15824","15824","15824","4.897451877593994","4.897451877593994","4.897451877593994"
"3169","15844","15844","15844","4.728195667266846","4.728195667266846","4.728195667266846"
"3178","15889","15889","15889","5.0023932456970215","5.0023932456970215","5.0023932456970215"
"3180","15899","15899","15899","4.764691352844238","4.764691352844238","4.764691352844238"
"3208","16039","16039","16039","4.722310543060303","4.722310543060303","4.722310543060303"
"3225","16124","16124","16124","4.10902214050293","4.10902214050293","4.10902214050293"
"3226","16129","16129","16129","4.420261859893799","4.420261859893799","4.420261859893799"
"3249","16244","16244","16244","4.8687615394592285","4.8687615394592285","4.8687615394592285"
"3259","16294","16294","16294","4.090832710266113","4.090832710266113","4.090832710266113"
"3268","16339","16339","16339","4.62746000289917","4.62746000289917","4.62746000289917"
"3288","16439","16439","16439","4.954648971557617","4.954648971557617","4.954648971557617"
"3304","16519","16519","16519","5.069515705108643","5.069515705108643","5.069515705108643"
"3327","16634","16634","16634","5.009228229522705","5.009228229522705","5.009228229522705"
"3343","16714","16714","16714","4.630711555480957","4.630711555480957","4.630711555480957"
"3369","16844","16844","16844","4.579112529754639","4.579112529754639","4.579112529754639"
"3370","16849","16849","16849","4.419657230377197","4.419657230377197","4.419657230377197"
"3416","17079","17079","17079","4.583263397216797","4.583263397216797","4.583263397216797"
"3428","17139","17139","17139","4.263105869293213","4.263105869293213","4.263105869293213"
"3429","17144","17144","17144","4.89412260055542","4.89412260055542","4.89412260055542"
"3471","17354","17354","17354","4.455639839172363","4.455639839172363","4.455639839172363"
"3475","17374","17374","17374","4.2602434158325195","4.2602434158325195","4.2602434158325195"
"3477","17384","17384","17384","4.6378984451293945","4.6378984451293945","4.6378984451293945"
"3478","17389","17389","17389","4.42262601852417","4.42262601852417","4.42262601852417"
"3540","17699","17699","17699","4.754037380218506","4.754037380218506","4.754037380218506"
"3552","17759","17759","17759","5.246427059173584","5.246427059173584","5.246427059173584"
"3558","17789","17789","17789","5.025866508483887","5.025866508483887","5.025866508483887"
"3561","17804","17804","17804","4.654647350311279","4.654647350311279","4.654647350311279"
"3572","17859","17859","17859","4.68644380569458","4.68644380569458","4.68644380569458"
"3575","17874","17874","17874","4.6302080154418945","4.6302080154418945","4.6302080154418945"
"3588","17939","17939","17939","4.499120712280273","4.499120712280273","4.499120712280273"
"3597","17984","17984","17984","4.525705337524414","4.525705337524414","4.525705337524414"
"3601","18004","18004","18004","4.514719009399414","4.514719009399414","4.514719009399414"
"3603","18014","18014","18014","5.007083415985107","5.007083415985107","5.007083415985107"
"3607","18034","18034","18034","4.750259876251221","4.750259876251221","4.750259876251221"
"3644","18219","18219","18219","4.775573253631592","4.775573253631592","4.775573253631592"
"3648","18239","18239","18239","4.641380786895752","4.641380786895752","4.641380786895752"
"3651","18254","18254","18254","4.365827560424805","4.365827560424805","4.365827560424805"
"3654","18269","18269","18269","4.359572410583496","4.359572410583496","4.359572410583496"
